X,Y
197009.3997,8052544.937
196303.0783,8052822.94
195654.2324,8053414.62
195016.043,8054194.389
193950.282,8055386.71
193141.478,8056442.699
192435.135,8057216.987
191875.5128,8057805.917
191387.0327,8058236.929
190813.0886,8058606.856
190155.9475,8059513.34
189878.7137,8060529.28
189657.2206,8061339.716
189487.3725,8062394.466
189523.5713,8063251.005
190840.8402,8063803.718
191184.3683,8064333.111
192410.9686,8064469.415
192830.9039,8064493.249
193484.5229,8064521.906
194154.6926,8064613.046
194750.6547,8064525.233
195549.2647,8064157.895
197333.7406,8064894.319
198125.5777,8065290.473
199016.4628,8065281.864
200368.7175,8065450.157
201039.7814,8065714.687
201971.1719,8065704.613
202610.1287,8065609.869
202899.4781,8065641.561
203286.1096,8065796.182
204046.2526,8066081.146
204634.8272,8065983.837
204971.491,8066016.262
205080.1329,8065892.568
204799.0088,8065458.357
204338.1556,8065339.207
203736.4309,8065153.282
203026.8377,8065038.15
202572.9359,8064940.898
202280.8147,8065040.486
202042.7785,8064884.894
200930.4204,8064715.061
200665.2259,8064213.465
200686.9919,8063442.999
200740.4469,8063228.846
200861.5428,8062639.656
200621.2508,8062129.015
200125.0116,8062265.542
200214.5351,8062782.68
200026.0995,8063288.605
199970.9177,8063873.576
199762.4089,8064338.095
199367.3581,8064481.274
198772.7308,8064482.771
198330.3452,8064483.799
197587.9945,8064339.153
197310.506,8063877.682
197120.4977,8063443.203
196955.9265,8062850.393
196969.2983,8062300.746
197335.3833,8061392.029
197478.7548,8061412.51
197233.7668,8060853.003
196552.5204,8062130.005
196001.44,8063160.251
194717.3541,8063702.242
194202.2454,8063727.339
192920.7954,8063706.621
192169.6942,8063692.546
191624.4093,8063726.573
191108.0459,8063716.046
190940.2626,8063421.688
190627.024,8063420.017
190456.8072,8063015.133
190336.9293,8062466.621
190362.9432,8061590.712
190657.8835,8060676.116
190938.2563,8059924.508
191465.0914,8059208.061
192265.0271,8058157.497
193052.818,8057664.139
194038.5459,8057230.907
194842.7432,8056606.165
195276.7683,8055337.018
195754.1956,8054786.043
196730.8229,8053983.097
196983.6956,8054476.148
197168.6351,8053601.838
197412.238,8053155.451
197854.1603,8053156.838
198221.3929,8053870.677
198412.0445,8053165.003
198637.9643,8052996.698
198478.3079,8052833.264
198721.74,8052619.016
200028.0752,8052555.773
201199.6423,8052683.073
202074.4576,8053405.961
203128.7653,8054153.599
203389.6092,8054815.402
203569.9954,8055440.985
203919.0025,8056290.45
203908.5415,8056894.531
203801.0798,8057349.162
205047.3649,8057936.293
205484.2949,8058271.408
205664.3821,8059261.702
204891.8853,8060467.006
204704.2959,8060800.691
205631.4306,8060745.893
206229.8521,8061856.72
206436.7667,8062638.342
206625.6503,8062898.775
207163.8427,8062983.206
206822.7277,8062415.786
206608.9446,8061815.16
206492.7155,8061185.867
206484.5489,8060594.704
206427.0662,8060248.444
206658.637,8059045.564
206282.7656,8058378.342
205583.8275,8057661.392
205149.1611,8057191.529
204781.8908,8056553.273
204567.0743,8056052.101
204116.4092,8055191.548
204005.0839,8054583.542
203770.7985,8053304.776
203198.1134,8052514.83
202601.0598,8051652.752
201674.4185,8051491.934
200599.0279,8051383.055
199608.043,8051559.262
198596.3903,8051997.64
197692.4837,8052498.065
197009.3997,8052544.937
